location,lat,lon
"Ab Barik, Iran",35.78,50.83
"Ab Behen, Chad",13.85,20.84
"Ab Bozorg, Iran",34.87,48.55
"Ab Chenaru, Iran",27.82,52.35
"Ab Cheshmeh, Iran",33.59,46.4
"Ab Dinabad, Iran",33.98,51.45
"Ab Ganeh, Iran",27.67,54.37
"Ab Garm, Iran",27.1,57.08
"Ab Garmu, Iran",30.43,50.77
"Ab Jalil, Afghanistan",34.22,62.22
"Ab Kameh, Iran",36.27,59.63
"Ab Pakhsh, Iran",37.47,57.33
"Ab Rud-e Shur, Iran",27.67,54.37
"Ab Shirin, Iran",32.87,59.2
"Ab, Iran",32.75,51.87
"Ab, Pakistan",26.25,68.37
"Ab-e Anar, Iran",32.43,48.4
"Ab-e Darah, Afghanistan",36.7,67.2
"Ab-e Hendi, Iran",34.87,48.55
"Ab-e Mosla, Iran",26.75,55.9
"Aba Mansuri, Iran",34.02,58.17
"Aba Shahid, Pakistan",31.82,70.92
"Aba ad Dud, Saudi Arabia",26.3,43.77
"Aba-Oriyanrin, Nigeria",6.58,3.33
"Ababakrai, Pakistan",34.02,71.58
"Ababiddi, Indonesia",-1.18,136.12
"Ababkovo, Russia",56.417559599200004,43.30465276979999
"Ababut, Philippines",18.18,120.53
"Abaca, Philippines",10.538673169099999,123.69485663799999
"Abacas, Portugal",41.27,-7.72
"Abacilar, Turkey",37.88,40.2
"Abad Chandipur, Bangladesh",22.39,89.27
"Abad Goth, Pakistan",27.72,68.78
"Abad Khel, Pakistan",32.55,71.52
"Abad Meshk, Iran",36.27,59.63
"Abad Nawa, Pakistan",27.72,68.78
"Abad Pancho, Pakistan",24.63,68.9
"Abad, Bangladesh",23.18,89.16
"Abad, Philippines",14.75,121.65
"Abadaniye, Turkey",37.97,32.55
"Abadeh, Iran",30.56,49.15
"Abadgiran, Pakistan",32.54,74.36
"Abadi Churera, Pakistan",30.8,73.43
"Abadi Dhuddianwali, Pakistan",30.65,73.13
"Abadi Dua, Indonesia",0.52,123.07
"Abadi Jangal, Iran",26.53,53.98
"Abadi Rajgir, India",27.38,80.17
"Abadpur, Bangladesh",24.85,89.37
"Abaga, Philippines",8.41,124.61
"Abagai, Philippines",7.17,124.21
"Abagbene, Nigeria",4.85,7.02
"Abaiwala, Pakistan",30.2,71.43
"Abakae, Indonesia",-5.06,119.55
"Abakanovo, Russia",59.32,39.93
"Abakpa, Nigeria",7.68,8.62
"Abaku, Nigeria",7.36,3.98
"Abakumovo, Russia",58.305,43.5766666667
"Abakumovskiy, Russia",48.93,40.38
"Abala Ouere, Mali",13.4,-6.15
"Abalagiagbene, Nigeria",5.52,5.73
"Abalakovo, Russia",54.88,99.03
"Abalduyevka, Russia",52.97,43.4
"Abali, Turkey",37.88,40.2
"Abalmasov, Russia",50.64,36.59
"Abalo, Mexico",20.6,-97.46
"Abalok, Russia",54.0,103.07
"Abanaban, Philippines",12.22,120.2
"Abanay, Bolivia",-21.26,-63.41
"Abandanak, Iran",36.67,51.47
"Abandonne, Martinique",14.6,-61.0
"Abangaritos, Costa Rica",10.18,-85.11
"Abangsil, South Korea",35.9,128.65
"Abano Terme, Italy",45.36,11.79
"Abanosimovka, Russia",52.81,41.48
"Abarabir, Indonesia",-7.22,112.72
"Abaranjeh, Nigeria",6.58,3.33
"Abarfarida, Kenya",-3.23,40.1
"Abarinki, Russia",52.58,33.77
"Abaro, Niger",14.03,-0.03
"Abarp, Sweden",55.92,13.67
"Abas Koruna, Pakistan",34.02,71.58
"Abasha, Georgia",42.18,42.48
"Abashevo, Russia",56.09,47.35
"Abasolo, Mexico",16.73,-92.63
"Abason, Indonesia",-0.9,122.78
"Abastumani, Georgia",42.18,42.48
"Abatan, Philippines",16.4,120.6
"Abatar, Iran",37.33,49.61
"Abaton, Philippines",12.5,124.64
"Abaturovo, Russia",59.5,34.7
"Abatyrtsy, Russia",57.0,48.73
"Abaucourt, France",48.97,6.25
"Abaujalpar, Hungary",48.23,21.23
"Abay, Kazakhstan",41.27,69.27
"Abayapuragama, Sri Lanka",8.12,80.47
"Abazakt, Russia",44.22,43.1
"Abazia di Sulmona, Italy",42.06,13.9
"Abazinovka, Russia",52.88,40.48
"Abazovka, Ukraine",49.6,34.55
"Abbadia Alpina, Italy",44.88,7.33
"Abbadia Cerreto, Italy",45.299999999899995,9.52000000001
"Abbadia Lariana, Italy",45.9,9.34
"Abbadia di Naro, Italy",43.67,12.52
"Abbakumovo, Russia",57.8,35.88
"Abbakumovskaya, Russia",60.41,44.22
"Abbal Shahwala, Pakistan",30.05,70.63
"Abbalpur, Pakistan",32.58,73.5
"Abbantorp, Sweden",56.78,16.69
"Abbasabad, Pakistan",31.47,74.37
"Abbasanta, Italy",40.22,8.81
"Abbashalimpasa, Turkey",39.81,30.52
"Abbasi, Pakistan",31.52,74.4
"Abbateggio, Italy",42.25,14.09
"Abbatesse, Italy",44.46,11.96
"Abbaz, Turkey",41.63,32.33
"Abbazia Pisani, Italy",45.62,11.85
"Abbazia di Fossanova, Italy",41.58,13.31
"Abbazia, Italy",45.1,8.74
"Abbekas, Sweden",55.47,13.57
"Abbenseth, Germany",53.58,9.04
"Abbetorp, Sweden",56.94,15.91
"Abbeville, AL",31.71,-85.13
"Abbeville, GA",32.08,-83.1
"Abbeville, LA",29.96,-92.14
"Abbeville, MS",34.38,-89.53
"Abbeville, SC",34.33,-82.38
"Abbiate Guazzone, Italy",45.71,8.91
"Abbiategrasso, Italy",45.42,8.94
"Abbikenhausen, Germany",53.55,7.96
"Abbiram, Bangladesh",26.53,88.72
"Abborrtrask, Sweden",64.55,18.72
"Abbot Village, ME",45.17,-69.38
"Abbotpur, Pakistan",31.27,72.32
"Abbotsford, WI",45.04,-90.34
"Abbott, TX",31.82,-97.09
"Abbotts, Australia",-26.61,118.55
"Abbottstown, PA",39.88,-76.92
"Abboudech, Morocco",35.58,-5.33
"Abbowa, Sri Lanka",7.17,79.88
"Abbuatan, Philippines",17.41,121.81
"Abbuwala, Pakistan",32.05,72.67
"Abbyville, KS",38.09,-98.33
"Abdal Baba Ziarat, Pakistan",34.73,72.35
"Abdal, Pakistan",27.72,68.78
"Abdala, Mozambique",-15.03,40.67
"Abdalata, Turkey",40.55,34.95
"Abdalkoy, Turkey",37.78,29.08
"Abdalkuyusu, Turkey",37.0,35.42
"Abdalli, Turkey",39.8,36.89
"Abdaloglu, Turkey",42.03,35.17
"Abdalpur, Bangladesh",25.03,88.13
"Abdaly, Russia",58.6,49.63
"Abdanan, Iran",33.43,48.28
"Abdangsar-e Latleyl, Iran",36.9,50.67
"Abdar, Iran",34.28,48.82
"Abdata, Mozambique",-11.36,40.35
"Abdi, Turkey",40.73,31.6
"Abdikeyevo, Russia",54.42,51.1
"Abdrashitovo, Russia",54.75,56.0
"Abdul Hadi, Bangladesh",25.73,89.23
"Abdul Karim, Pakistan",27.72,68.78
"Abdul Majid Banda, Pakistan",33.57,71.43
"Abdul Majid jo Goth, Pakistan",26.25,68.37
"Abdul Rashidabad, Pakistan",33.92,72.4
"Abdulgazino, Russia",53.39,58.76
"Abdulkhali, Bangladesh",22.39,89.27
"Abdullah Town, Pakistan",33.61,73.03
"Abdullahbey, Turkey",38.73,41.52
"Abdullahnagar, India",27.88,79.9
"Abdullapur, India",28.0,76.08
"Abdullun, India",33.97,74.77
"Abdulovo, Russia",51.8,55.46
"Abdulpur, Bangladesh",23.65,88.82
"Abdulrahmansaleh, Indonesia",-7.37,112.78
"Abdur Rahman Koruna, Pakistan",34.02,71.58
"Abdyrova, Russia",55.34,61.34
"Abecao, Portugal",42.09,-8.3
"Abee, Alberta",54.28,-112.97
"Abegede, Nigeria",6.46,3.47
"Abeh Mohammad, Iran",36.91,54.4
"Abejones, Mexico",17.6,-101.47
"Abel Santa Maria, Cuba",22.99,-82.41
"Abel, Mozambique",-16.22,39.9
"Abelardo L. Rodriguez, Mexico",18.6236246787,-91.8183239075
"Abelea, Mexico",21.71,-102.32
"Abeli, Indonesia",-4.1,122.43
"Abell, MD",38.25,-76.74
"Abelsborg, Norway",70.44,28.26
"Abena, Spain",42.52,-0.36
"Abepura, Indonesia",-2.57,140.48
"Abercrombie, ND",46.27,-96.61
"Aberdeen Proving Ground, MD",39.51,-76.18
"Aberdeen, British Columbia",50.64,-120.36
"Aberdeen, Hong Kong",22.24,114.15
"Aberdeen, ID",42.94,-112.65
"Aberdeen, KY",37.42,-86.74
"Aberdeen, MD",39.51,-76.18
"Aberdeen, MS",33.87,-88.52
"Aberdeen, NC",35.12,-79.45
"Aberdeen, OH",38.64,-83.78
"Aberdeen, SD",45.47,-98.48
"Aberdeen, WA",46.98,-123.8
"Abere, France",43.33,-0.3
"Aberfeldy, Saskatchewan",53.26,-110.02
"Aberg, Austria",47.43,12.85
"Aberga, Sweden",59.7043672275,16.4917971227
"Abernant, AL",33.29,-87.14
"Abernathy, TX",33.66,-101.82
"Abersee, Austria",47.73,13.49
"Abertura, Spain",39.34,-5.5
"Abetina Vallesana, Italy",46.4,10.35
"Abeuk, Myanmar",19.42,93.55
"Abeysaz, Russia",52.22,57.4
"Abfalter, Austria",47.79,13.08
"Abfaltern, Austria",46.76,12.44
"Abgarm Rud, Iran",37.33,49.61
"Abge, Turkey",39.71,39.53
"Abguhi, Iran",25.43,60.37
"Abha, Saudi Arabia",18.23,42.65
"Abhaipura, India",26.82,75.8
"Abhaisinghpura, India",28.0,73.3
"Abhiramapuram, India",12.96,80.26
"Abiaknabo, Indonesia",-0.89,134.05
"Abiansari, Indonesia",-0.68,119.73
"Abiat, Morocco",35.73,-5.9
"Abickhafe, Germany",53.46,7.82
"Abidjan, Ivory Coast",5.32,-4.04
"Abids, India",17.43,78.4199999999
"Abidunimakhi, Russia",42.4,46.97
"Abijo, Philippines",11.04,125.74
"Abika, Orientale",3.05,30.92
"Abildtorpe, Denmark",54.85,11.17
"Abilene, KS",38.92,-97.23
"Abilene, TX",32.46,-99.71
"Abiley, Russia",54.93,36.25
"Abinga, Congo",-0.02,15.65
"Abingdon, IL",40.82,-90.31
"Abingdon, MD",39.46,-76.26
"Abingdon, VA",36.69,-81.97
"Abington, CT",41.89,-71.97
"Abington, MA",42.09,-70.96
"Abington, PA",40.12,-75.12
"Abioba, Nigeria",6.32,5.1
"Abisan, Papua New Guinea",-5.21,145.79
"Abisinia, Peru",-13.74,-76.22
"Abita Springs, LA",30.48,-90.06
"Abitain, France",43.36,-1.04
"Abitureiras, Portugal",39.19,-8.74
"Abjat-sur-Bandiat, France",45.56,0.82
"Ablainzevelle, France",50.13,2.78
"Ablakh, Azerbaijan",40.73,46.32
"Ablamuzadu, Ghana",6.17,1.25
"Ablayan, Philippines",10.13,123.55
"Ableta, Indonesia",-3.35,128.88
"Ablon, France",49.43,0.37
"Ablulan, Iran",33.4,49.7
"Ablyazovo, Russia",56.09,47.35
"Abney, Ontario",47.82,-83.35
"Abnow, Iran",35.24,58.46
"Abo, Philippines",13.94,121.37
"Aboa, Ethiopia",11.6,37.42
"Aboabo, Philippines",9.74,118.76
"Aboda, Sweden",59.78,15.19
"Abodim, Russia",51.63,45.45
"Aboi, Indonesia",-8.47,140.38
"Aboland, Sweden",58.46,11.68
"Abord, Sweden",62.68,17.92
"Aboreachic, Mexico",26.7,-108.32
"Aborino, Russia",55.84,38.44
"Abort, Germany",54.87,8.43
"Aboru, Indonesia",-3.7,128.08
"Abosjon, Sweden",63.4,18.97
"Abotossaway, Ontario",47.97,-84.78
"Abovyan, Armenia",40.15,44.4
"Abra de Napa, Bolivia",-20.54,-70.18
"Abra del Mezquite, Mexico",25.78,-100.1
"Abra del Perdomo, Uruguay",-34.87,-55.1
"Abragal, Afghanistan",35.2,71.85
"Abraham Gonzales, Mexico",28.84,-107.27
"Abraham Gonzalez, Mexico",29.1105504587,-107.25972477100001
"Abrahams Bay, Bahamas",21.77,-72.27
"Abrahamtelep, Hungary",47.17,20.18
"Abrahuillque, Peru",-13.55,-71.98
"Abrakunis, Azerbaijan",39.19,45.46
"Abram Mys, Russia",68.98,33.09
"Abram-Village, Prince Edward Island",46.41,-64.12
"Abramenkovo, Russia",46.06,38.98
"Abramkovo, Russia",54.75,32.07
"Abramov, Russia",49.8,43.67
"Abramovka, Russia",47.2735,39.9459473684
"Abramovo, Russia",56.877136363599995,40.6755
"Abramovshchina, Belarus",53.99,27.23
"Abramovskaya, Russia",59.28,38.02
"Abramovskiy, Russia",51.75,36.3
"Abramovskoye, Russia",54.93,36.25
"Abramowice Koscielne, Poland",51.22,22.58
"Abrams Hoek, South Africa",-31.34,19.09
"Abrams, WI",44.72,-88.12
"Abramsan, Sweden",65.85,21.53
"Abramskraal, South Africa",-29.1,26.3
"Abramy, Belarus",54.63,25.28
"Abrand, Hungary",47.95,21.77
"Abrang, Iran",36.67,51.47
"Abranytanya, Hungary",47.7,22.89
"Abras de Arriba, Mexico",25.52,-100.19
"Abrashino, Russia",54.37,81.95
"Abrayevo, Russia",54.5,55.9
"Abre El Ojo, Colombia",11.53,-72.93
"Abrenk, Turkey",40.25,40.23
"Abriola, Italy",40.56,15.77
"Abronikha, Russia",56.99,40.96
"Abrosenki, Russia",58.1,49.92
"Abrosimki, Russia",58.3,48.35
"Abrosimovka, Russia",58.42,33.9
"Abrosimovo, Russia",58.090952381,38.296190476199996
"Abroskinskiy, Russia",50.8,42.0
"Abrosovo, Russia",56.68,43.43
"Abrud, Romania",46.78,23.68
"Abryshkino, Russia",52.82,52.22
"Absalyamovo, Russia",56.08,60.3
"Absarokee, MT",45.52,-109.44
"Absecon, NJ",39.46,-74.5
"Abshar, Iran",25.07,61.81
"Abshin, Iran",30.37,48.25
"Abshur, Iran",30.37,48.25
"Absinta, Mozambique",-17.83,35.33
"Absmann, Austria",47.91,13.08
"Abspann, Germany",49.84,12.04
"Abtaf, Iran",34.35,47.16
"Abtare Chak, India",32.67,74.83
"Abu Chalach, Iraq",32.92,45.07
"Abu Dhabi, UAE",24.46,54.32
"Abu Dishah, Iraq",31.27,45.27
"Abu Dudah, Saudi Arabia",21.43,39.77
"Abu Farhiyah, Iraq",31.99,44.4
"Abu Forag, Egypt",31.08,33.82
"Abu Haggag, Egypt",31.33,27.22
"Abu Handal, Egypt",22.38,31.62
"Abu Jalalah, Iraq",31.99,44.4
"Abu Jarbu`, Iraq",33.26,44.23
"Abu Ka`b, Syria",36.43,36.54
"Abu Khaysah, UAE",24.14,54.97
"Abu Musa, Iran",25.25,55.33
"Abu Qir, Syria",37.05,41.22
"Abu Qurgas, Egypt",27.05,31.02
"Abu Rummaneh, Syria",33.42,36.52
"Abu Shujayr, Iraq",31.99,44.4
"Abu Thamin, Iraq",31.99,44.4
"Abu Thaylah, Qatar",25.4,51.45
"Abu Wajnam, Iraq",36.87,43.0
"Abu Zenima, Egypt",28.23,33.62
"Abu `Ajjaj, Iraq",33.26,44.23
"Abu ol Fathabad, Iran",34.35,47.16
"Abu, Iraq",31.99,44.4
"Abu, Japan",28.9562679856,130.163911871
"Abuen, Sweden",56.38,13.99
"Abuja Nigeria, Nigeria",9.01,7.26
"Abuja, Nigeria",9.25,7.0
"Abuku, Nigeria",6.58,3.33
"Abulan, Philippines",16.73,121.7
"Abule Ijesha, Nigeria",6.45,3.37
"Abule-Nla, Nigeria",6.45,3.37
"Abungon, Philippines",9.33,123.3
"Abur, India",33.97,74.77
"Aburatsu, Japan",31.58,131.41
"Abus, Romania",46.53,24.53
"Abushkovo, Russia",56.5,34.93
"Abuta, Japan",42.56,140.9
"Abutalipovo, Russia",56.08,56.58
"Abute, Malawi",-13.65,32.57
"Abuzlar, Ukraine",45.52,32.7
"Aby, Sweden",58.1898677326,15.5609563953
"Abyar Ali, Saudi Arabia",24.51,39.56
"Abylund, Sweden",58.94,17.49
"Abysater, Sweden",58.24,15.39
"Abyshevo, Russia",55.23,86.12
"Abyzovo, Russia",56.09,47.35
"Abyzovtsy, Russia",58.13,52.58
"Abzac, France",44.95,-0.21
"Abzhingay, Russia",54.6,100.63
"Acacia, Philippines",15.51,120.96
"Acaciaville, Nova Scotia",44.59,-65.76
"Academy, Nova Scotia",45.73,-62.77
"Acadia Valley, Alberta",51.07,-110.32
"Acadia, Alberta",50.97,-114.05
"Acahuasco, Mexico",21.28,-98.81
"Acahuene, Mexico",24.76,-107.47
"Acahuizotla, Mexico",16.76,-99.75
"Acaia, Italy",40.31,18.21
"Acajutla, El Salvador",13.57,-89.83
"Acalavana, Mozambique",-15.1,39.28
"Acambaro, Mexico",26.88,-101.42
"Acamilpa, Mexico",18.84,-99.23
"Acamixtla, Mexico",18.92,-99.25
"Acampo, CA",38.19,-121.28
"Acanthus, Ontario",46.31,-78.68
"Acapulco de Juarez, Mexico",16.76,-99.75
"Acapulco, Colombia",4.22,-72.55
"Acapulco, Mexico",32.29,-115.1
"Acara, Brazil",-3.15,-59.99
"Acarlar, Turkey",37.85,27.85
"Acarobasi, Turkey",37.08,37.37
"Acaryurt, Turkey",37.45,38.9
"Acate, Italy",36.96,14.53
"Acatitan, Mexico",24.76,-107.47
"Acatitlan, Mexico",20.68,-105.25
"Acatlan, Mexico",20.37,-100.27
"Acatlixhuayan, Mexico",19.03,-98.2
"Acayuca, Mexico",20.13,-98.75
"Acazulco, Mexico",19.35,-99.57
"Accaria, Italy",38.83,16.43
"Acchabamba, Peru",-13.54,-71.94
"Acchacas, Peru",-9.88,-76.2
"Acciarello, Italy",38.27,15.64
"Accident, MD",39.57,-79.37
"Accokeek, MD",38.68,-77.03
"Accomac, VA",37.7,-75.75
"Accord, MA",42.17,-70.88
"Accord, NY",41.79,-74.26
"Accous, France",43.17,-0.69
"Accoville, WV",37.76,-81.86
"Accra, Ghana",5.6,-0.17
"Ace, TX",30.62,-94.81
"Acedillo, Spain",42.42,-3.68
"Aceituno, Colombia",3.63,-75.09
"Acelotla, Mexico",19.43,-99.1
"Acemler, Turkey",39.81,30.52
"Acenan, Indonesia",-7.37,112.78
"Acerno, Italy",40.73,15.05
"Acerra, Italy",40.91,14.31
"Acevedo y Gomez, Colombia",3.63,-75.09
"Ach'a-gol, South Korea",37.68,128.72
"Ach'im-gol, South Korea",37.18,128.46
"Ach'immot, South Korea",37.9,127.74
"Ach'iul, South Korea",37.58,127.03
"Ach'on, South Korea",35.4010679612,127.223203883
"Ach, Austria",47.56,9.87
"Achada de Cima, Portugal",32.7,-17.13
"Achada de Gaula, Portugal",32.68,-16.8
"Achada do Marques, Portugal",32.68,-16.85
"Achadovo, Russia",53.48,42.63
"Achae, South Korea",37.43,127.12
"Achair, Russia",54.97,73.31
"Achairka, Russia",55.03,74.58
"Acham, Austria",47.33,11.87
"Achampet, India",16.78,80.28
"Achanta, India",16.43,81.7
"Acharbania, Bangladesh",20.87,92.3
"Acharigama, Sri Lanka",8.33,80.42
"Acharyagaun, Nepal",27.3,86.5
"Achat, India",25.07,79.45
"Achchankulam, Sri Lanka",8.98,79.92
"Achchelu, Sri Lanka",9.65,80.02
"Achchygyy, Russia",62.73,129.67
"Achencoil, India",8.47,76.95
"Achenkirch, Austria",47.4,11.78
"Achenrain, Austria",47.44,11.87
"Acheres, France",47.11,2.43
"Acheson, Alberta",53.58,-113.72
"Acheson, Ontario",46.33,-81.58
"Achhahad, India",33.97,74.77
"Achhambu, Nepal",26.98,87.35
"Achhelankhera, India",24.77,78.83
"Achhutia, Bangladesh",25.65,88.68
"Achi-Kol', Russia",44.4,46.55
"Achigan, Ontario",46.48,-84.52
"Achigaya, Japan",34.79,138.23
"Achikul', Russia",55.47,65.4
"Achille, OK",33.94,-96.39
"Achilles, VA",37.29,-76.47
"Achina, India",28.57,77.12
"Achinamisa, Peru",-6.51,-76.37
"Achio, Mexico",20.81,-104.06
"Achiotepec, Mexico",20.6,-97.46
"Achiotes, Mexico",19.15,-104.57
"Achiras, Argentina",-33.12,-64.23
"Achireshki, Russia",43.35,46.12
"Achisu, Russia",42.82,47.65
"Achitende, Zambia",-10.1,31.25
"Achkanis, Turkey",38.45,43.32
"Achkasova, Russia",52.63,38.52
"Achkasovo, Russia",55.441891622700005,38.2557047515
"Achkosa, Russia",46.03,38.15
"Achlikul', Russia",55.3,61.53
"Achna, India",22.65,88.45
"Achotal, Colombia",1.55,-78.7
"Achotillo, Peru",-12.14,-77.0
"Acht, Germany",50.35,7.05
"Achterberg, Germany",52.77,10.04
"Achternmeer, Germany",53.09,8.06
"Achua, Bangladesh",24.13,88.27
"Achuluni, Bolivia",-15.47,-70.16
"Achupallas, Colombia",1.42,-77.27
"Aci Bonaccorsi, Italy",37.6,15.13
"Acibadem, Turkey",40.99,29.04
"Acikdilek, Turkey",37.88,40.2
"Acikuyu Yaylasi, Turkey",37.97,32.55
"Acilia, Italy",41.79,12.39
"Acing, Indonesia",-6.12,106.65
"Acioz, Turkey",38.77,34.53
"Acirli, Turkey",38.82,35.43
"Acisu, Turkey",40.8102133333,34.02832
"Aciuta, Romania",46.47,22.52
"Ackenbrock, Germany",51.52,7.62
"Ackerly, TX",32.31,-101.49
"Ackerman, MS",33.08,-89.22
"Ackermanville, PA",40.84,-75.25
"Ackley, IA",42.5,-93.2
"Acklinga, Sweden",58.27,13.72
"Ackworth, IA",41.51,-93.62
"Acliang, Philippines",12.36,121.05
"Acme, Alberta",51.56,-113.53
"Acme, LA",31.14,-92.01
"Acme, MI",44.76,-85.51
"Acme, PA",40.13,-79.47
"Acme, WA",48.71,-122.32
"Acok, Indonesia",-6.25,106.64
"Acopilco, Mexico",19.37,-99.27
"Acopinalco, Mexico",19.43,-99.1
"Acoran, Indonesia",-6.85,109.15
"Acores, Brazil",-27.67,-48.55
"Acornhoek, South Africa",-24.37,31.03
"Acosta, Cuba",22.98,-82.4
"Acosta, PA",40.12,-79.1
"Acqua dei Corsari, Italy",38.12,13.34
"Acquacalda, Italy",38.2977211344,15.5189162728
"Acquacanina, Italy",43.34,13.13
"Acquaformosa, Italy",39.58,15.89
"Acquafredda, Italy",44.738100725600006,11.0486982501
"Acquamela, Italy",40.7,14.72
"Acquaria, Italy",44.26,10.93
"Acquarica del Capo, Italy",39.86,18.28
"Acquasanta, Italy",44.43,8.77
"Acquaseria, Italy",46.06,9.26
"Acquaviva Platani, Italy",37.63,13.63
"Acquaviva Villa Musone, Italy",43.47,13.54
"Acquedolci, Italy",38.15,14.84
"Acqueville, France",49.062613355299995,-0.299220939819
"Acquin-Westbecourt, France",50.8,2.09
"Acra, Indonesia",-6.75,108.27
"Acra, NY",42.35,-74.15
"Acre, Israel",32.95,35.09
"Acres, Ontario",49.42,-82.47
"Acri, Italy",39.46,16.14
"Acris, Romania",45.46,25.94
"Acton, CA",34.48,-118.17
"Acton, MA",42.49,-71.43
"Acton, ME",43.52,-70.92
"Acton, MT",45.82,-108.66
"Actons Corners, Ontario",45.01,-75.75
"Acuitlapilco, Mexico",19.03,-98.21
"Acupo, Mozambique",-12.97,40.5
"Acushnet, MA",41.68,-70.91
"Acworth, GA",34.03,-84.69
"Acworth, NH",43.23,-72.28
"Ad Dammam, Saudi Arabia",26.4,50.11
"Ad Darbasiyah, Syria",37.88,40.2
"Ad Dawadimi, Saudi Arabia",24.49,44.36
"Ad Dayr, Egypt",30.92,29.68
"Ad Dubdubah, Iraq",29.1,46.68
"Ad'yanov, Russia",47.15,42.48
"Ad, Indonesia",-5.68,132.75
"Ad, Sweden",56.39,16.08
"Ada Fourteen Pull, Pakistan",30.2,71.43
"Ada, Ghana",9.247796610169999,-0.7496610169490001
"Ada, MI",42.95,-85.49
"Ada, OH",40.77,-83.83
"Ada, OK",34.76,-96.66
"Ada, Saskatchewan",50.33,-105.55
"Ada, Turkey",38.92,27.85
"Adad, India",19.12,72.85
"Adaga, Russia",42.07,48.3
"Adagum, Russia",44.9,37.3
"Adagume, Turkey",37.85,27.85
"Adah, PA",39.9,-79.74
"Adailo, Eritrea",13.5,39.48
"Adair, IA",41.29,-94.57
"Adair, IL",40.37,-90.51
"Adair, OK",36.33,-95.29
"Adair, Ontario",49.52,-114.0
"Adairsville, GA",34.38,-84.91
"Adairville, KY",36.62,-86.83
"Adak, AK",51.88,-176.65
"Adak, Turkey",39.12,39.55
"Adakaya, Japan",35.48,133.25
"Adakoy, Turkey",38.2386409396,28.3428691275
"Adalan, Turkey",40.96,29.08
"Adalatpur, Bangladesh",22.39,89.27
"Adalberto Tejeda, Mexico",18.1,-94.58
"Adalen, Sweden",59.73,17.11
"Adalomkamek, Quebec",46.18,-72.92
"Adam Mala, Kosovo",42.45,21.37
"Adam, Malawi",-9.7,33.27
"Adam, Oman",22.5,57.37
"Adama, Poland",50.59,20.16
"Adamant, VT",44.32,-72.51
