user_id,from_loc,to_loc
2614078459.0,"Austin, TX","Dallas, TX"
2053257444.0,"Duluth, MN","Oakdale, MN"
734568285.0,"Schaumburg, IL","Fishers, IN"
1914739356.0,"Greenville, NC","Hickory, NC"
3041798558.0,"Waco, TX","Mobile, AL"
1014296079.0,"Boston, MA","Madison, WI"
300688947.0,"Austin, TX","San Antonio, TX"
1032675884.0,"Las Vegas, NV","Fairfax, VA"
970217170.0,"Palm Bay, FL","Highlands Ranch, CO"
1781907306.0,"Columbia, MO","Houston, TX"
1829454303.0,"Anaheim, CA","Chandler, AZ"
41138081.0,"Honolulu, HI","Glendale, AZ"
1085173434.0,"Fort Worth, TX","Prairie Village, KS"
2811128714.0,"Spokane, WA","Portland, OR"
1835357922.0,"Gainesville, FL","Orlando, FL"
3437729982.0,"Columbus, OH","Cleveland, OH"
3335858305.0,"Houston, TX","Cedar Park, TX"
653688633.0,"Harrisonburg, VA","Reston, VA"
1744152129.0,"Baltimore, MD","Edinburg, TX"
3454427194.0,"Boston, MA","Minneapolis, MN"
1877959563.0,"Eugene, OR","Berkeley, CA"
52643024.0,"Minneapolis, MN","San Francisco, CA"
1898510575.0,"Redlands, CA","San Francisco, CA"
1063976216.0,"Santa Cruz, CA","Sacramento, CA"
2114798149.0,"Boston, MA","Springfield, MA"
2129213419.0,"Evanston, IL","Silver Spring, MD"
3638197426.0,"Dallas, TX","Bradenton, FL"
3374216553.0,"Northfield, MN","Madison, WI"
1879574944.0,"Santa Barbara, CA","Santa Ana, CA"
1048222698.0,"Ames, IA","Vallejo, CA"
3786077948.0,"Miami, FL","San Diego, CA"
1325107385.0,"Manhattan Beach, CA","Coeur d'Alene, ID"
1350043185.0,"Fort Collins, CO","San Diego, CA"
1254299061.0,"Midland, TX","Tulsa, OK"
1127827804.0,"Phoenix, AZ","Seattle, WA"
690745139.0,"Ann Arbor, MI","Kalamazoo, MI"
1054317664.0,"Ames, IA","Edina, MN"
639884593.0,"Shoreview, MN","Kenosha, WI"
1822167334.0,"Cleveland, OH","Troy, MI"
988213303.0,"College Station, TX","Fort Worth, TX"
2284500480.0,"Oxford, MS","Hattiesburg, MS"
725428097.0,"Hampton, VA","Oak Creek, WI"
721810808.0,"Arcata, CA","San Francisco, CA"
736324034.0,"Bloomington, IN","Granger, IN"
731610836.0,"Mobile, AL","Virginia Beach, VA"
722793839.0,"Baltimore, MD","Los Angeles, CA"
3555229261.0,"Atlanta, GA","Cincinnati, OH"
2107286019.0,"Santa Monica, CA","Livonia, MI"
2166407127.0,"Urbana, IL","Mount Prospect, IL"
1082033065.0,"Urbana, IL","Downers Grove, IL"
746195329.0,"Chicago, IL","Edina, MN"
2295157496.0,"Boston, MA","Levittown, PA"
2249597418.0,"Fort Lauderdale, FL","Placentia, CA"
1678007569.0,"Prescott, AZ","Anaheim, CA"
1608417511.0,"Florence, AL","Birmingham, AL"
3482107289.0,"College Station, TX","McAllen, TX"
1087059514.0,"Austin, TX","San Jose, CA"
2570934854.0,"Los Angeles, CA","Atlanta, GA"
2120647449.0,"Dallas, TX","San Antonio, TX"
1048982004.0,"College Station, TX","Houston, TX"
3068358546.0,"Austin, TX","Portland, OR"
2983800989.0,"Stratford, CT","Syracuse, NY"
1443700987.0,"Greenville, NC","Raleigh, NC"
2926245591.0,"Berkeley, CA","South Gate, CA"
1188741648.0,"Lafayette, LA","Houma, LA"
1647568086.0,"Boston, MA","Honolulu, HI"
1074093724.0,"San Jose, CA","Santa Fe, NM"
1418139809.0,"Atlanta, GA","Elk Grove, CA"
3114517241.0,"New York, NY","Minneapolis, MN"
1886557428.0,"Madison, WI","Los Angeles, CA"
3335288056.0,"Chico, CA","Long Beach, CA"
3726317446.0,"Irvine, CA","Modesto, CA"
985913226.0,"Los Angeles, CA","Berkeley, CA"
2976967331.0,"Philadelphia, PA","Baltimore, MD"
3491282431.0,"Chicago, IL","Stratford, CT"
721638641.0,"Bloomington, IN","Ann Arbor, MI"
2208538689.0,"Oklahoma City, OK","Battle Creek, MI"
1546286419.0,"Fayetteville, AR","Little Rock, AR"
2621528369.0,"Lafayette, IN","Eden Prairie, MN"
1947387663.0,"Spring, TX","Lubbock, TX"
2294659432.0,"Ann Arbor, MI","Granite Bay, CA"
738257912.0,"Los Angeles, CA","San Mateo, CA"
3210527043.0,"Fresno, CA","Redlands, CA"
727931315.0,"Baltimore, MD","New York, NY"
1543318584.0,"Boulder, CO","Los Angeles, CA"
3819729138.0,"Los Angeles, CA","San Mateo, CA"
735466384.0,"Chico, CA","Vallejo, CA"
3142032184.0,"Stillwater, OK","Portland, OR"
735925010.0,"Chicago, IL","Stratford, CT"
3614626697.0,"Temple, TX","Manchester, NH"
3592581116.0,"Duluth, MN","Minneapolis, MN"
2188147633.0,"Boston, MA","Pittsburgh, PA"
2587298113.0,"Ann Arbor, MI","Boca Raton, FL"
4628653.0,"Tampa, FL","Murrieta, CA"
725254490.0,"Santa Cruz, CA","San Diego, CA"
2028990611.0,"Chula Vista, CA","Livermore, CA"
3350851624.0,"Dallas, TX","Evanston, IL"
3368890153.0,"Bloomington, IN","Fishers, IN"
3322144990.0,"Camarillo, CA","Cheektowaga, NY"
1374892290.0,"Brookline, MA","Kansas City, MO"
1938457555.0,"Charlotte, NC","Spartanburg, SC"
1611690123.0,"Moorhead, MN","Prior Lake, MN"
7073880.0,"Royal Palm Beach, FL","Miami, FL"
2313531927.0,"Lynchburg, VA","Harrisonburg, VA"
643093573.0,"Santa Barbara, CA","Hayward, CA"
1329657752.0,"Coronado, CA","Hurst, TX"
3469997240.0,"Loma Linda, CA","Springfield, IL"
3119907237.0,"San Jose, CA","Miami, FL"
658844854.0,"Broomfield, CO","Anchorage, AK"
2063157061.0,"Chula Vista, CA","Dublin, CA"
1610253133.0,"San Jose, CA","Edmonds, WA"
1358327540.0,"Willoughby, OH","Bloomingdale, IL"
3795390497.0,"Baltimore, MD","Hawthorne, CA"
2472612539.0,"New York, NY","Ashburn, VA"
1259062657.0,"Cape Girardeau, MO","Colorado Springs, CO"
1419280035.0,"Arlington, VA","Albany, NY"
1663025659.0,"Lancaster, PA","White Plains, NY"
3048947791.0,"Atlanta, GA","Savannah, GA"
1317447513.0,"Los Angeles, CA","Vacaville, CA"
3206382089.0,"Sheboygan, WI","New Orleans, LA"
1251337288.0,"San Diego, CA","Redondo Beach, CA"
753018274.0,"Pullman, WA","San Jose, CA"
3406648313.0,"San Rafael, CA","Redmond, WA"
1897753439.0,"Indianapolis, IN","Atlanta, GA"
1767048133.0,"New York, NY","Christiansburg, VA"
722870579.0,"Urbana, IL","Chicago, IL"
3220020834.0,"Bloomington, IN","Evansville, IN"
2471088045.0,"Houston, TX","Coppell, TX"
3696628938.0,"Fort Collins, CO","Bethesda, MD"
1135079563.0,"Redding, CA","San Jose, CA"
3612317625.0,"Worcester, MA","Kirkland, WA"
1112040680.0,"Santa Barbara, CA","Sacramento, CA"
728728939.0,"Urbana, IL","Algonquin, IL"
1820098121.0,"South San Francisco, CA","Birmingham, MI"
2331709379.0,"Gainesville, FL","Boynton Beach, FL"
3066170942.0,"Sacramento, CA","Livermore, CA"
662385131.0,"New York, NY","San Mateo, CA"
3535457591.0,"Corpus Christi, TX","El Paso, TX"
2179334056.0,"College Park, MD","Kings Park, NY"
723777427.0,"Fort Lauderdale, FL","Anaheim, CA"
1083663629.0,"Silver Spring, MD","Philadelphia, PA"
662774908.0,"Foster City, CA","Houston, TX"
2115769399.0,"Milwaukee, WI","Highland, IN"
766881091.0,"Evanston, IL","San Francisco, CA"
1985278628.0,"Berkeley, CA","Colorado Springs, CO"
2951386909.0,"Greensboro, NC","Union City, GA"
1139932204.0,"Indianapolis, IN","Davie, FL"
731362201.0,"Charlotte, NC","Cocoa, FL"
1191598513.0,"Macomb, IL","Davenport, IA"
753135704.0,"Boston, MA","New York, NY"
1136849677.0,"Franklin, TN","Roswell, GA"
730336892.0,"Cambridge, MA","Macon, GA"
1540667528.0,"Shaker Heights, OH","Fort Myers, FL"
760786229.0,"Chapel Hill, NC","Huntersville, NC"
2821418432.0,"New York, NY","Madison, WI"
3527455485.0,"South San Francisco, CA","Bentonville, AR"
1154995578.0,"New York, NY","Columbus, OH"
679664192.0,"Columbia, MO","Chicago, IL"
2561701823.0,"Tacoma, WA","Menlo Park, CA"
1279262112.0,"Houston, TX","Universal City, TX"
1237224775.0,"Greenville, SC","South Portland, ME"
841933667.0,"Bryan, TX","Lubbock, TX"
733036909.0,"College Station, TX","Plano, TX"
1097638512.0,"Los Angeles, CA","Live Oak, CA"
2843880998.0,"Fayetteville, AR","Lewisville, TX"
851855148.0,"New York, NY","San Jose, CA"
3513837111.0,"Ames, IA","Duluth, MN"
2725648154.0,"Cambridge, MA","Seattle, WA"
3528297898.0,"Bloomington, IN","Fort Wayne, IN"
1906483644.0,"San Antonio, TX","Honolulu, HI"
1469793438.0,"Mount Juliet, TN","Vincennes, IN"
643067974.0,"Houston, TX","Orlando, FL"
2641708034.0,"Ames, IA","Mason City, IA"
2890997549.0,"San Jose, CA","Greeley, CO"
2203547523.0,"Denton, TX","Austin, TX"
3345484710.0,"Venice, FL","Bethlehem, PA"
2031087243.0,"Albany, NY","Las Vegas, NV"
1015584813.0,"Worcester, MA","Edmond, OK"
3549382519.0,"Riverbank, CA","Sacramento, CA"
1170648101.0,"Fort Collins, CO","Springfield, VA"
1363987198.0,"Cleveland, OH","Toledo, OH"
3061347242.0,"Fort Collins, CO","Redlands, CA"
3690868368.0,"Anaheim, CA","Dublin, CA"
689738034.0,"Portland, OR","Chicago, IL"
2582466882.0,"Madison, WI","Bellevue, WA"
677013631.0,"San Antonio, TX","Austin, TX"
1368378108.0,"Philadelphia, PA","Bethesda, MD"
3357518896.0,"Houston, TX","Charlotte, NC"
1561342473.0,"New Orleans, LA","Baltimore, MD"
3585229089.0,"Portland, OR","Bend, OR"
2063577075.0,"Lawrence, KS","Colorado Springs, CO"
1973081281.0,"Moreno Valley, CA","San Diego, CA"
1000204340.0,"Pasadena, CA","Santa Barbara, CA"
3655724093.0,"San Antonio, TX","Killeen, TX"
771560211.0,"Bloomington, IN","Tucker, GA"
610644015.0,"Salem, OR","Millcreek, UT"
3120388481.0,"Cupertino, CA","South Lake Tahoe, CA"
1885649615.0,"Los Angeles, CA","Chicago, IL"
721056934.0,"Orlando, FL","Largo, FL"
133152956.0,"Anaheim, CA","Henderson, NV"
3655804770.0,"Fargo, ND","Minneapolis, MN"
3541579228.0,"College Station, TX","Billings, MT"
3701459176.0,"Florence, SC","Pembroke Pines, FL"
3759327852.0,"Salt Lake City, UT","Rocklin, CA"
1092735283.0,"Moscow, ID","Port Angeles, WA"
672372716.0,"Durham, NC","Springboro, OH"
2939479811.0,"College Station, TX","San Diego, CA"
1030671276.0,"Arcata, CA","Richmond, CA"
3506300222.0,"San Diego, CA","Burbank, CA"
1594989264.0,"Huntington Beach, CA","Marysville, WA"
1889533348.0,"Dallas, TX","South Hill, WA"
1040454164.0,"Little Rock, AR","Atlanta, GA"
1687812190.0,"McKinney, TX","Charlotte, NC"
1024841072.0,"Trenton, NJ","Pasadena, CA"
1373082002.0,"Athens, OH","Warren, OH"
1789401858.0,"Grand Forks, ND","Dickinson, ND"
1987710396.0,"Chico, CA","Sacramento, CA"
1924567648.0,"San Jose, CA","Portland, OR"
3437787103.0,"Torrance, CA","Fremont, CA"
719376879.0,"Oklahoma City, OK","Cartersville, GA"
725809940.0,"Chico, CA","San Diego, CA"
1966079383.0,"Newport News, VA","Arlington, TX"
758337952.0,"San Francisco, CA","Stockton, CA"
668204045.0,"Baltimore, MD","Delray Beach, FL"
777690021.0,"San Francisco, CA","Springville, UT"
753536888.0,"Chico, CA","Walnut Creek, CA"
3354357023.0,"Los Angeles, CA","Las Vegas, NV"
3774127912.0,"Richmond, VA","Boca Raton, FL"
729414297.0,"New Brunswick, NJ","Lorain, OH"
1978827931.0,"Littleton, CO","Tulsa, OK"
2727818534.0,"San Francisco, CA","Naperville, IL"
3695203962.0,"Greenville, SC","Quincy, IL"
736899218.0,"Centreville, VA","Denver, CO"
1375558267.0,"Greenville, NC","Fayetteville, NC"
2563538101.0,"Madison, WI","Chicago, IL"
1331071719.0,"Tampa, FL","Ocala, FL"
2617158443.0,"Hampton, VA","Richmond, VA"
3130697107.0,"Bolingbrook, IL","Fort Myers, FL"
1083760770.0,"San Francisco, CA","Fairbanks, AK"
3368151495.0,"Ontario, CA","Riviera Beach, FL"
723146669.0,"Buffalo, NY","New Brunswick, NJ"
640882077.0,"San Jose, CA","Escondido, CA"
1864407095.0,"Smyrna, GA","Montgomery, AL"
2893110361.0,"Westerville, OH","Orlando, FL"
2012413034.0,"Las Vegas, NV","Frankfort, IL"
1169845622.0,"Simpsonville, SC","Huntersville, NC"
2846418556.0,"Westerville, OH","Orlando, FL"
544032359.0,"Pittsburgh, PA","Fairmont, WV"
2661127419.0,"Urbana, IL","Plainfield, IL"
3061758645.0,"New York, NY","Punta Gorda, FL"
1358977936.0,"San Diego, CA","Placentia, CA"
1607197921.0,"New York, NY","Temecula, CA"
3499743902.0,"Orlando, FL","Tampa, FL"
637392643.0,"Merced, CA","Los Angeles, CA"
746980666.0,"Gainesville, FL","Baltimore, MD"
1517799051.0,"Columbus, OH","Geneva, IL"
716611824.0,"Manhattan Beach, CA","Orlando, FL"
3734822378.0,"Laramie, WY","Casper, WY"
665583483.0,"Waco, TX","Houston, TX"
1097367720.0,"Richardson, TX","Greeley, CO"
2035537360.0,"Spokane, WA","Monterey Park, CA"
3833520557.0,"Thousand Oaks, CA","Dubuque, IA"
3444453982.0,"Vestavia Hills, AL","Memphis, TN"
3488377156.0,"San Antonio, TX","Leander, TX"
736852019.0,"Champaign, IL","Loves Park, IL"
3181502282.0,"Austin, TX","Richardson, TX"
1671958137.0,"Minneapolis, MN","Memphis, TN"
985468822.0,"Los Angeles, CA","San Diego, CA"
2203409614.0,"Folsom, CA","Livermore, CA"
1962473437.0,"Palo Alto, CA","San Dimas, CA"
690157949.0,"Cleveland, OH","Norfolk, VA"
2539242526.0,"Columbus, OH","Cleveland, OH"
3777067342.0,"Durham, NC","Austin, TX"
1909306854.0,"Estero, FL","Warwick, RI"
2279941237.0,"San Diego, CA","Littleton, CO"
2968367320.0,"Lompoc, CA","Burleson, TX"
3189008495.0,"Boston, MA","Boynton Beach, FL"
1900647664.0,"Orlando, FL","Jacksonville, FL"
773621715.0,"Boston, MA","San Francisco, CA"
3719477235.0,"San Marcos, TX","Abilene, TX"
722945632.0,"San Francisco, CA","Honolulu, HI"
386912287.0,"Slidell, LA","Gautier, MS"
1451238096.0,"Phoenix, AZ","San Diego, CA"
2270329860.0,"New York, NY","Alpharetta, GA"
1183898683.0,"Hollywood, FL","Chillicothe, OH"
1865779494.0,"Ocean Springs, MS","New Orleans, LA"
715611019.0,"Minnetonka, MN","Phoenix, AZ"
1557503944.0,"Fairbanks, AK","Missoula, MT"
3529191117.0,"Raleigh, NC","Tallahassee, FL"
1116828624.0,"Springdale, AR","Allen, TX"
140404100.0,"Wilmington, NC","Asheville, NC"
1325074651.0,"San Diego, CA","Placentia, CA"
750349428.0,"Los Angeles, CA","San Francisco, CA"
3250751199.0,"Winter Park, FL","Tampa, FL"
1924166942.0,"Newark, NJ","Tucson, AZ"
1834832641.0,"Boston, MA","Fairfield, CA"
3160278662.0,"Knoxville, TN","Fort Wayne, IN"
728059869.0,"Knoxville, TN","Naples, FL"
715842437.0,"Redmond, WA","Santa Clara, CA"
2007307489.0,"Bowling Green, OH","Columbus, OH"
1115122054.0,"Los Angeles, CA","Fremont, CA"
1866635981.0,"Orlando, FL","Margate, FL"
3532879096.0,"Fort Wayne, IN","South Bend, IN"
1537021208.0,"South Bend, IN","Homestead, FL"
783475329.0,"Sacramento, CA","Phoenix, AZ"
3527562623.0,"Aurora, IL","Milwaukee, WI"
3192079810.0,"Granger, IN","Charlotte, NC"
725900836.0,"Muskego, WI","Chicago, IL"
1813380928.0,"South Lake Tahoe, CA","Coachella, CA"
1765128746.0,"Beverly Hills, CA","Dania Beach, FL"
2799301274.0,"Ballwin, MO","Coachella, CA"
735002884.0,"Chicago, IL","Norfolk, VA"
1102569037.0,"Bolingbrook, IL","Milwaukee, WI"
1835363941.0,"Bowling Green, OH","Dayton, OH"
719840793.0,"McLean, VA","New York, NY"
3402059860.0,"Oak Forest, IL","Fort Myers, FL"
1939702456.0,"Dallas, TX","San Bernardino, CA"
2719100925.0,"Abilene, TX","Frisco, TX"
1094797308.0,"Richmond, VA","Fort Lauderdale, FL"
868467551.0,"San Francisco, CA","Chicago, IL"
677343510.0,"Irvine, CA","Mauldin, SC"
1966837423.0,"Santa Barbara, CA","Culver City, CA"
3190081761.0,"Youngstown, OH","Leesburg, FL"
780805014.0,"Albuquerque, NM","Venice, FL"
1909303004.0,"Los Angeles, CA","Hanford, CA"
1440169532.0,"Miami, FL","Lee's Summit, MO"
992471947.0,"Chicago, IL","La Mirada, CA"
2201597887.0,"Romulus, MI","East Lansing, MI"
1143098105.0,"Salt Lake City, UT","Pittsburgh, PA"
1540721474.0,"Chicago, IL","Clifton, NJ"
1227743124.0,"York, PA","Whittier, CA"
3415379302.0,"Burbank, CA","San Diego, CA"
3184179968.0,"Las Vegas, NV","Bullhead City, AZ"
3396561287.0,"Aventura, FL","Boston, MA"
1006382371.0,"Dallas, TX","Sacramento, CA"
1807075274.0,"Grand Forks, ND","Ocean Springs, MS"
2341037676.0,"Cleveland, OH","Minneapolis, MN"
1679883483.0,"Corpus Christi, TX","Kerrville, TX"
3546625386.0,"Cuyahoga Falls, OH","Apache Junction, AZ"
2813059540.0,"Charleston, SC","Columbia, SC"
746328250.0,"Columbus, IN","Montclair, CA"
1074012933.0,"New York, NY","Lancaster, PA"
2037377607.0,"Orlando, FL","Key West, FL"
1231297151.0,"Salt Lake City, UT","Arlington, VA"
2016340864.0,"Miami, FL","Kansas City, MO"
2049198855.0,"Orlando, FL","Boca Raton, FL"
3680879453.0,"Yonkers, NY","Allentown, PA"
730300433.0,"Chicago, IL","West Lafayette, IN"
1173699177.0,"Atlanta, GA","Monroe, MI"
3230909574.0,"Redmond, OR","Eugene, OR"
1052518188.0,"Scottsdale, AZ","Santa Maria, CA"
2886220335.0,"Albany, OR","Spokane Valley, WA"
1299586334.0,"Oklahoma City, OK","Lewisville, TX"
3648940197.0,"West Fargo, ND","Titusville, FL"
2344623352.0,"Cleveland, OH","Minneapolis, MN"
997944920.0,"Urbana, IL","San Diego, CA"
3644097372.0,"Lawrence, KS","Hayward, CA"
3474670552.0,"Atlanta, GA","Fairfield, CA"
3070678045.0,"Ann Arbor, MI","Meridian, MS"
2671937350.0,"Westminster, MD","Miami, FL"
1158398329.0,"Pensacola, FL","Tallahassee, FL"
1126645542.0,"San Diego, CA","Glendale, CA"
1595832054.0,"Fort Lauderdale, FL","Arlington, VA"
684015847.0,"Manchester, NH","Naples, FL"
1905688428.0,"Houston, TX","Los Angeles, CA"
1161241888.0,"Tonawanda, NY","Portland, OR"
3452643174.0,"El Centro, CA","Murrieta, CA"
3706045080.0,"Chapel Hill, NC","New York, NY"
722954296.0,"Honolulu, HI","New York, NY"
3013830151.0,"Fort Collins, CO","Glendale, AZ"
2634197352.0,"Tualatin, OR","Long Beach, CA"
3241683016.0,"Anchorage, AK","Pittsburgh, PA"
728647034.0,"Chicago, IL","Pittsburgh, PA"
2117400760.0,"Vancouver, WA","Seattle, WA"
1013108705.0,"Plymouth, MN","Palm Desert, CA"
224844399.0,"Ann Arbor, MI","Sandy, UT"
1439111255.0,"Des Moines, IA","Hastings, NE"
99674084.0,"Gainesville, FL","Minneapolis, MN"
1763279119.0,"Clearwater, FL","Orlando, FL"
